No.;Layer;Output Size;Latency [ms];Energy [mJ];Sensor Latency;Sensor Energy;Link Latency;Link Energy;Edge Latency;Edge Energy
1;Identity;(1, 3, 227, 227);12.067076354078829;1.5098868000000003;0.0;0.0;2.516478;1.5098868000000003;9.55059835407883;0.0
2;MaxPool2d: 2-6;[1, 128, 28, 28];8.004562459224463;1.6219427773929647;0.8068660000000001;0.6418223773929647;1.633534;0.9801204;5.5641624592244625;0.0
3;MaxPool2d: 2-9;[1, 256, 14, 14];6.367351478250444;1.5204137286754522;1.38389;1.0303445286754522;0.816782;0.49006920000000004;4.166679478250444;0.0
4;Fire: 2-10;[1, 384, 14, 14];6.081384864576638;1.8738012834129285;1.543826;1.1386440834129288;1.2252619999999999;0.7351571999999998;3.3122968645766377;0.0
5;Fire: 2-11;[1, 384, 14, 14];5.382053148355305;1.9902511985315652;1.7131699999999999;1.2550939985315652;1.2252619999999999;0.7351571999999998;2.443621148355305;0.0
6;Fire: 2-12;[1, 512, 14, 14];5.261989376017809;2.425189940143346;2.0016819999999997;1.4450695401433458;1.633534;0.9801204;1.626773376017809;0.0
7;Fire: 2-13;[1, 512, 14, 14];4.74939733095479;2.624964771344619;2.3027379999999997;1.6448443713446192;1.633534;0.9801204;0.8131253309547901;0.0
8;AdaptiveAvgPool2d: 2-17;[1, 1000, 1, 1];3.1071309618350265;2.2033917382041177;3.0867379999999995;2.1935241382041175;0.016446000000000002;0.0098676;0.003946961835026741;0.0
